filename,name,year,month,monthNumber,day,formattedDate,fileTimestamp,extractedAt,uniqueKey
1746168099_5840_Semi Weekly 02.05.2025 FRIDAY.pdf,Price List - May 2025 - 02 May,2025,May,5,2,2025-05-02,1746168099,2025-05-02T20:44:48.717Z,2025-5-02
1746426909_1597_SEMI WEEKLY DTD.05.05.2025 MONDAY_.pdf,Price List - May 2025 - 05 May,2025,May,5,5,2025-05-05,1746426909,2025-05-05T07:00:02.889Z,2025-5-05
1746688768_962_Semi Weekly 08.05.2025 THURSDAY.pdf,Price List - May 2025 - 08 May,2025,May,5,8,2025-05-08,1746688768,2025-05-08T07:30:03.728Z,2025-5-08
1747029006_6994_SEMI WEEKLY DTD.12.05.2025 MONDAY_.pdf,Price List - May 2025 - 12 May,2025,May,5,12,2025-05-12,1747029006,2025-05-12T05:59:57.175Z,2025-5-12
1747295962_920_Semi Weekly 15.05.2025 THURSDAY.pdf,Price List - May 2025 - 15 May,2025,May,5,15,2025-05-15,1747295962,2025-05-15T08:00:00.072Z,2025-5-15
1747634868_4665_SEMI WEEKLY DTD.19.05.2025 MONDAY_.pdf,Price List - May 2025 - 19 May,2025,May,5,19,2025-05-19,1747634868,2025-05-19T06:29:58.478Z,2025-5-19
1747896407_3658_Semi Weekly 22.05.2025 THURSDAY.pdf,Price List - May 2025 - 22 May,2025,May,5,22,2025-05-22,1747896407,2025-05-22T06:59:54.425Z,2025-5-22
1748242161_3267_SEMI WEEKLY DTD.26.05.2025 MONDAY..pdf,Price List - May 2025 - 26 May,2025,May,5,26,2025-05-26,1748242161,2025-05-26T06:59:51.876Z,2025-5-26
1748497346_648_Semi Weekly 29.05.2025 THURSDAY.pdf,Price List - May 2025 - 29 May,2025,May,5,29,2025-05-29,1748497346,2025-05-29T05:59:51.395Z,2025-5-29
1748847770_2734_SEMI WEEKLY DTD.02.06.2025 MONDAY_.pdf,Price List - June 2025 - 2 June,2025,June,6,2,2025-06-02,1748847770,2025-06-02T07:29:51.815Z,2025-6-2
1749104798_6720_Semi Weekly 05.06.2025 THURSDAY.pdf,Price List - June 2025 - 5 June,2025,June,6,5,2025-06-05,1749104798,2025-06-05T06:29:51.233Z,2025-6-5
1749449428_9336_SEMI WEEKLY DTD.09.06.2025 MONDAY_.pdf,Price List - June 2025 - 9 June,2025,June,6,9,2025-06-09,1749449428,2025-06-09T06:29:46.674Z,2025-6-9
1749710293_9511_Semi Weekly 12.06.2025 THURSDAY.pdf,Price List - June 2025 - 12 June,2025,June,6,12,2025-06-12,1749710293,2025-06-12T06:59:49.247Z,2025-6-12
1750054060_7225_SEMI WEEKLY DTD.16.06.2025 MONDAY_.pdf,Price List - June 2025 - 16 June,2025,June,6,16,2025-06-16,1750054060,2025-06-16T06:29:40.805Z,2025-6-16
1738217867_1961_Semi Weekly 30.01.2025 THURSDAY.pdf,Price List - Jan 2025 - 30 January,2025,Jan,1,30,2025-01-30,1738217867,2025-06-18T09:42:33.634Z,2025-1-30
1738046834_5913_SEMI WEEKLY DTD.27.01.2025 MONDAY_.pdf,Price List - Jan 2025 - 27 January,2025,Jan,1,27,2025-01-27,1738046834,2025-06-18T09:42:33.634Z,2025-1-27
1737616380_2525_Semi Weekly 23.01.2025 THURSDAY.pdf,Price List - Jan 2025 - 23 January,2025,Jan,1,23,2025-01-23,1737616380,2025-06-18T09:42:33.634Z,2025-1-23
1737355766_4902_SEMI WEEKLY DTD.20.01.2025 MONDAY_.pdf,Price List - Jan 2025 - 20 January,2025,Jan,1,20,2025-01-20,1737355766,2025-06-18T09:42:33.634Z,2025-1-20
1737183937_200_Semi Weekly 16.01.2025 THURSDAY.pdf,Price List - Jan 2025 - 16 January,2025,Jan,1,16,2025-01-16,1737183937,2025-06-18T09:42:33.634Z,2025-1-16
1736761446_1075_SEMI WEEKLY DTD.13.01.2025 MONDAY_.pdf,Price List - Jan 2025 - 13 January,2025,Jan,1,13,2025-01-13,1736761446,2025-06-18T09:42:33.634Z,2025-1-13
1736403657_7762_Semi Weekly 09.01.2025 THURSDAY.pdf,Price List - Jan 2025 - 9 January,2025,Jan,1,9,2025-01-09,1736403657,2025-06-18T09:42:33.634Z,2025-1-9
1736138131_8004_SEMI WEEKLY DTD.06.01.2025 MONDAY_.pdf,Price List - Jan 2025 - 6 January,2025,Jan,1,6,2025-01-06,1736138131,2025-06-18T09:42:33.634Z,2025-1-6
1735793304_3657_Semi Weekly 02.01.2025 THURSDAY.pdf,Price List - Jan 2025 - 2 January,2025,Jan,1,2,2025-01-02,1735793304,2025-06-18T09:42:33.634Z,2025-1-2
1750406606_332_Semi Weekly 19.06.2025 THURSDAY.pdf,Price List - June 2025 - 19 June,2025,June,6,19,2025-06-19,1750406606,2025-06-20T13:03:06.953Z,2025-6-19
1750659378_272_SEMI WEEKLY DTD.23.06.2025 MONDAY_.pdf,Price List - June 2025 - 23 June,2025,June,6,23,2025-06-23,1750659378,2025-06-23T13:15:42.570Z,2025-6-23
1750922655_9002_Semi Weekly 26.06.2025 THURSDAY.pdf,Price List - June 2025 - 26 June,2025,June,6,26,2025-06-26,1750922655,2025-06-26T07:30:14.770Z,2025-6-26
1751870404_9422_SEMI WEEKLY DTD.07.07.2025 MONDAY_.pdf,Price List - July 2025 - 7 July,2025,July,7,7,2025-07-07,1751870404,2025-07-07T07:00:11.349Z,2025-7-7
1751523312_4410_Semi Weekly 03.07.2025 THURSDAY.pdf,Price List - July 2025 - 3 July,2025,July,7,3,2025-07-03,1751523312,2025-07-07T07:00:11.349Z,2025-7-3
1751263959_9421_SEMI WEEKLY DTD.30.06.2025 MONDAY_.pdf,Price List - June 2025 - 30 June,2025,June,6,30,2025-06-30,1751263959,2025-07-07T07:00:11.349Z,2025-6-30
1752130931_3271_Semi Weekly 10.07.2025 THURSDAY.pdf,Price List - July 2025 - 10 July,2025,July,7,10,2025-07-10,1752130931,2025-07-10T07:30:12.714Z,2025-7-10
1703743573_7507_Semi Weekly DTD.28.12.2023 THURSDAY_.pdf,Price List - Dec 2023 - 28 December,2023,Dec,12,28,2023-12-28,1703743573,2025-07-13T17:18:22.460Z,2023-12-28
1703484059_3463_Semi Weekly DTD. 25.12.2023 MONDAY_.pdf,Price List - Dec 2023 - 25 December,2023,Dec,12,25,2023-12-25,1703484059,2025-07-13T17:18:22.460Z,2023-12-25
1703139922_2129_Semi Weekly DTD.21.12.2023 THURSDAY_.pdf,Price List - Dec 2023 - 21 December,2023,Dec,12,21,2023-12-21,1703139922,2025-07-13T17:18:22.460Z,2023-12-21
1702880477_7265_Semi Weekly DTD. 18.12.2023 MONDAY..pdf,Price List - Dec 2023 - 18 December,2023,Dec,12,18,2023-12-18,1702880477,2025-07-13T17:18:22.460Z,2023-12-18
1702534924_3205_Semi Weekly DTD.14.12.2023 THURSDAY_.pdf,Price List - Dec 2023 - 14 December,2023,Dec,12,14,2023-12-14,1702534924,2025-07-13T17:18:22.460Z,2023-12-14
1702274544_1613_Semi Weekly DTD. 11.12.2023 MONDAY_.pdf,Price List - Dec 2023 - 11 December,2023,Dec,12,11,2023-12-11,1702274544,2025-07-13T17:18:22.460Z,2023-12-11
1701930707_1285_Semi Weekly DTD.07.12.2023 THURSDAY_.pdf,Price List - Dec 2023 - 7 December,2023,Dec,12,7,2023-12-07,1701930707,2025-07-13T17:18:22.460Z,2023-12-7
1701670664_6076_Semi Weekly DTD. 04.12.2023 MONDAY_.pdf,Price List - Dec 2023 - 4 December,2023,Dec,12,4,2023-12-04,1701670664,2025-07-13T17:18:22.460Z,2023-12-4
1701325259_8403_Semi Weekly DTD.30.11.2023 THURSDAY..pdf,Price List - Nov 2023 - 30 November,2023,Nov,11,30,2023-11-30,1701325259,2025-07-13T17:18:22.460Z,2023-11-30
1701157283_3709_Semi Weekly DTD. 27.11.2023 MONDAY..pdf,Price List - Nov 2023 - 27 November,2023,Nov,11,27,2023-11-27,1701157283,2025-07-13T17:18:22.460Z,2023-11-27
